row_id,title,url,area,block,scope,property_type,size_marla,beds,baths,asking_price,comp_count,comp_low,comp_typical,comp_high,position,deviation,confidence,predicted_price,image
15353,"1 Kanal Single-Storey House for Sale P Block, Model Town, Lahore",https://www.zameen.com/Property/lahore_model_town_1_kanal_single-storey_house_for_sale_p_block_model_town_lahore-53029302-8-1.html,Model Town,,area,House,20.0,3.0,3.0,130000000.0,39,90000000.0,120000000.0,160000000.0,within,0.0,high,134140384.0,https://media.zameen.com/thumbnails/306097528-400x300.jpeg
15355,"1 Kanal Double Storey House For Sale In Garden Town , Facing Park .",https://www.zameen.com/Property/lahore_garden_town_1_kanal_double_storey_house_for_sale_in_garden_town_facing_park-53366637-4-1.html,Garden Town,,area,House,20.0,6.0,6.0,80000000.0,15,75000000.0,85000000.0,119250000.0,within,0.0,low,86125864.0,https://media.zameen.com/thumbnails/306097388-400x300.jpeg
15356,7 Marla Ready House in DHA 9 Sector D Available for Urgent Sale,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_d_7_marla_ready_house_in_dha_9_sector_d_available_for_urgent_sale-54394788-8176-1.html,DHA 9 Town,Block D,block,House,7.0,3.0,3.0,33000000.0,47,22770000.0,26500000.0,31000000.0,above,0.0645,high,32183312.0,https://media.zameen.com/thumbnails/303889152-400x300.jpeg
15357,5 Marla Just Like Brand New Triple Kitchen House For Sale With Gas(Current Rental Income Per Month Is 140k),https://www.zameen.com/Property/lahore_sunfort_gardens_5_marla_just_like_brand_new_triple_kitchen_house_for_sale_with_gas_current_rental_income_per_month_is_140k-54195045-4426-1.html,Sunfort Gardens,,area,House,5.0,5.0,6.0,28500000.0,10,28700000.0,30000000.0,30000000.0,within,0.0,low,27776792.0,https://media.zameen.com/thumbnails/303663262-400x300.jpeg
15358,"10 Marla Luxury House for Sale Hot Location | LDA Avenue 1, J Bloc",https://www.zameen.com/Property/lahore_lda_avenue_10_marla_luxury_house_for_sale_hot_location_lda_avenue_1_j_bloc-54488384-547-1.html,LDA Avenue,,area,House,10.0,6.0,7.0,42900000.0,244,34000000.0,38100000.0,45000000.0,within,0.0,high,41509756.0,https://media.zameen.com/thumbnails/304824112-400x300.jpeg
15359,2 KANAL ULTRA MODREN LUXURIOUS HOUSE FOR SALE,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_ultra_modren_luxurious_house_for_sale-54088972-1448-1.html,DHA Phase 6,,area,House,40.0,6.0,6.0,187500000.0,230,218375000.0,370000000.0,550000000.0,below,0.1414,high,286859360.0,https://media.zameen.com/thumbnails/301352699-400x300.jpeg
15360,5 MARLA BEAUTIFUL HOUSE AVAILABLE FOR SELL IN HOT LOCATION,https://www.zameen.com/Property/dha_defence_dha_phase_3_5_marla_beautiful_house_available_for_sell_in_hot_location-54639498-1454-1.html,DHA Phase 3,,area,House,5.0,3.0,4.0,32500000.0,7,30850000.0,33000000.0,34550000.0,within,0.0,low,32629888.0,https://media.zameen.com/thumbnails/306266835-400x300.jpeg
15361,"1 Kanal Top Quality Build Luxurious Beautiful Ultra Modern Design Villa Fully Furnished With Basement For Sale In DHA Lahore Phase 6 Prime Location, Near RAYA.",https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_1_kanal_top_quality_build_luxurious_beautiful_ultra_modern_design_villa_fully_furnished_with_basement_for_sale_in_dha_lahore_phase_6_prime_location_near_raya-53245949-1628-1.html,DHA Phase 7,Block U,block,House,20.0,6.0,6.0,72500000.0,96,71625000.0,82250000.0,113750000.0,within,0.0,high,79732600.0,https://media.zameen.com/thumbnails/300842231-400x300.jpeg
15362,3 Malra Brand New House,https://www.zameen.com/Property/main_canal_bank_road_al_hafeez_garden_-_phase_5_3_malra_brand_new_house-53050491-18829-1.html,Al Hafeez Garden,Phase 5,block,House,3.0,4.0,5.0,16500000.0,41,15000000.0,18000000.0,18500000.0,within,0.0,high,17538628.0,https://media.zameen.com/thumbnails/301169758-400x300.jpeg
15363,4 Kanal Old House For Sale,https://www.zameen.com/Property/lahore_model_town_4_kanal_old_house_for_sale-54358410-8-1.html,Model Town,,area,House,80.0,11.0,7.0,400000000.0,19,351000000.0,425000000.0,860999999.9999998,within,0.0,low,606162176.0,https://media.zameen.com/thumbnails/302945119-400x300.jpeg
15364,10 Marla House for Sale in Jasmine Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_10_marla_house_for_sale_in_jasmine_block_bahria_town_lahore-54639363-1786-1.html,Bahria Town,Jasmine Block,block,House,10.0,5.0,7.0,39000000.0,49,33000000.0,37000000.0,45000000.0,within,0.0,high,39510268.0,https://media.zameen.com/thumbnails/306263969-400x300.jpeg
15366,10 Marla House For Sale In Quaid Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_quaid_block_10_marla_house_for_sale_in_quaid_block_bahria_town_lahore-54639347-1808-1.html,Bahria Town,Quaid Block,block,House,10.0,5.0,7.0,39000000.0,24,33450000.0,45000000.0,59500000.0,within,0.0,high,37851912.0,https://media.zameen.com/thumbnails/306264357-400x300.jpeg
